latitude,longitude,datetime,value
24.528722,118.125231,16-Sep-2016 08:30:00,0.868839
24.528722,118.125231,30-Sep-2016 14:30:00,0.098504
24.528722,118.135066,05-Sep-2016 08:00:00,5.388961
24.528722,118.150802,17-Sep-2016 22:30:00,6.850983
24.528722,118.158671,15-Sep-2016 17:00:00,0.120737
24.528722,118.185226,09-Sep-2016 10:30:00,0.694454
24.528722,118.185226,11-Sep-2016 01:30:00,10.216672
24.528722,118.185226,11-Sep-2016 02:00:00,1.796332
24.528722,118.185226,11-Sep-2016 15:30:00,4.186657
24.528722,118.186210,08-Sep-2016 02:00:00,1.101277
24.528722,118.186210,08-Sep-2016 11:00:00,1.137857
24.528722,118.186210,11-Sep-2016 01:00:00,4.025338
24.527824,118.098675,18-Sep-2016 03:00:00,0.541133
24.527824,118.098675,18-Sep-2016 04:00:00,17.550727
24.527824,118.098675,19-Sep-2016,1.041619
24.527824,118.104576,27-Sep-2016 23:00:00,5.204549
24.527824,118.104576,28-Sep-2016 17:00:00,0.383429
24.527824,118.105560,01-Sep-2016 01:00:00,1.823028
24.527824,118.105560,07-Sep-2016 21:00:00,8.482929
24.527824,118.105560,07-Sep-2016 21:30:00,6.250716
24.527824,118.105560,13-Sep-2016 21:00:00,2.661556
24.527824,118.124247,16-Sep-2016 09:00:00,0.189376
24.527824,118.124247,18-Sep-2016 18:00:00,2.285773
24.527824,118.124247,18-Sep-2016 21:00:00,2.446426
24.527824,118.156704,01-Sep-2016 17:30:00,5.608068
24.527824,118.156704,05-Sep-2016 17:00:00,0.424971
24.527824,118.156704,06-Sep-2016 17:30:00,1.759261
24.527824,118.157687,06-Sep-2016 17:00:00,5.518215
24.527824,118.157687,06-Sep-2016 17:30:00,0.732407
24.527824,118.157687,06-Sep-2016 19:00:00,1.109868
24.527824,118.157687,15-Sep-2016 17:00:00,0.708932
24.527824,118.159654,14-Sep-2016 20:30:00,0.853841
24.526926,118.100642,15-Sep-2016 20:30:00,6.623719
24.526926,118.105560,01-Sep-2016 13:00:00,3.134781
24.526926,118.124247,18-Sep-2016 18:00:00,3.288699
24.526926,118.124247,18-Sep-2016 21:00:00,7.469163
24.526926,118.137033,14-Sep-2016 23:30:00,0.315509
24.526926,118.137033,15-Sep-2016 01:00:00,12.757629
24.526926,118.137033,16-Sep-2016 09:30:00,0.864211
24.526926,118.137033,27-Sep-2016 20:30:00,9.930536
24.526926,118.151786,26-Sep-2016 22:00:00,0.562533
24.526926,118.152770,07-Sep-2016 17:00:00,0.027400
24.526926,118.153753,08-Sep-2016 18:30:00,2.413521
24.526926,118.154737,06-Sep-2016 16:00:00,2.498795
24.526926,118.154737,10-Sep-2016 18:30:00,2.189610
24.526926,118.155720,05-Sep-2016 16:30:00,4.478289
24.526926,118.155720,06-Sep-2016 19:00:00,0.631559
24.526926,118.157687,02-Sep-2016 17:00:00,3.048297
24.526926,118.157687,06-Sep-2016 19:00:00,3.161205
24.526029,118.101626,18-Sep-2016 20:30:00,5.720467
24.526029,118.106543,01-Sep-2016 13:00:00,14.899897
24.526029,118.106543,19-Sep-2016 19:30:00,3.454634
24.526029,118.110477,29-Sep-2016 14:00:00,2.560577
24.526029,118.125231,18-Sep-2016 21:00:00,0.765264
24.526029,118.126214,07-Sep-2016 05:30:00,0.314737
24.526029,118.126214,18-Sep-2016 18:30:00,1.801619
24.526029,118.126214,18-Sep-2016 21:00:00,3.607231
24.526029,118.126214,30-Sep-2016 23:30:00,1.257501
24.526029,118.138016,10-Sep-2016 03:30:00,0.649187
24.526029,118.138016,14-Sep-2016 23:30:00,18.532937
24.526029,118.138016,15-Sep-2016,6.482656
24.526029,118.138016,15-Sep-2016 00:30:00,11.027464
24.526029,118.138016,16-Sep-2016 09:30:00,4.540057
24.526029,118.138016,27-Sep-2016 20:30:00,4.654753
24.526029,118.138016,27-Sep-2016 21:00:00,14.141533
24.526029,118.139000,15-Sep-2016 05:30:00,1.251107
24.526029,118.139000,28-Sep-2016 16:00:00,0.933652
24.526029,118.151786,17-Sep-2016 22:00:00,5.150870
24.526029,118.151786,17-Sep-2016 22:30:00,0.629344
24.525131,118.101626,15-Sep-2016 07:00:00,1.172764
24.525131,118.102609,11-Sep-2016 19:30:00,0.062521
24.525131,118.102609,20-Sep-2016 22:00:00,8.054866
24.525131,118.107527,01-Sep-2016 13:00:00,2.208358
24.525131,118.107527,19-Sep-2016 19:30:00,8.599308
24.525131,118.109494,29-Sep-2016 14:00:00,0.517717
24.525131,118.110477,16-Sep-2016 07:30:00,2.798286
24.525131,118.110477,22-Sep-2016 15:30:00,0.699547
24.525131,118.110477,24-Sep-2016 14:30:00,1.657194
24.525131,118.110477,29-Sep-2016 14:00:00,2.821373
24.525131,118.127198,12-Sep-2016 00:30:00,3.558989
24.525131,118.127198,18-Sep-2016 17:30:00,5.369664
24.525131,118.127198,18-Sep-2016 18:30:00,2.594619
24.525131,118.139000,10-Sep-2016 03:30:00,0.303967
24.525131,118.139000,26-Sep-2016 16:00:00,4.775137
24.525131,118.139984,09-Sep-2016 02:30:00,7.231162
24.525131,118.139984,14-Sep-2016 21:30:00,0.132137
24.525131,118.139984,22-Sep-2016 16:00:00,2.662428
24.525131,118.139984,27-Sep-2016 23:30:00,1.283950
24.525131,118.146868,13-Sep-2016 09:00:00,0.069107
24.525131,118.146868,15-Sep-2016 01:30:00,0.899551
24.525131,118.148835,18-Sep-2016 11:30:00,7.993809
24.525131,118.148835,18-Sep-2016 12:00:00,0.178139
